Land,Gr.,1. plass,2. plass,3. plass,4. plass
Algeria,J,5.4%,22.1%,34.6%,37.8%
Argentina,J,75.3%,17.9%,5.2%,1.6%
Australia,D,15.9%,21.7%,27.7%,34.8%
Belgium,G,57.1%,26.8%,11.7%,4.3%
Bosnia-Hercegovina,B,5.7%,17.7%,54.0%,22.7%
Brazil,C,63.9%,23.8%,10.0%,2.3%
Canada,B,45.0%,40.3%,12.7%,2.0%
Colombia,K,46.0%,36.4%,13.5%,4.0%
Curacao,E,0.5%,3.0%,19.4%,77.1%
DR Congo,K,2.5%,8.8%,29.3%,59.4%
Ecuador,E,48.9%,38.3%,11.3%,1.5%
Egypt,G,10.8%,22.8%,35.7%,30.7%
Ivory Coast,E,5.8%,18.0%,56.6%,19.6%
England,L,58.0%,30.0%,10.8%,1.2%
France,I,58.3%,27.1%,11.5%,3.1%
Ghana,L,0.5%,2.9%,15.8%,80.8%
Haiti,C,2.3%,8.9%,22.8%,66.0%
Iraq,I,2.3%,8.2%,22.6%,66.9%
Iran,G,27.2%,36.6%,24.0%,12.3%
Japan,F,37.3%,36.3%,19.2%,7.2%
Jordan,J,4.1%,18.2%,33.1%,44.6%
Cape Verde,H,0.7%,7.2%,38.3%,53.8%
Croatia,L,32.0%,42.6%,21.8%,3.6%
Morocco,C,16.1%,32.7%,34.7%,16.6%
Mexico,A,65.9%,24.7%,9.2%,0.2%
Netherlands,F,49.0%,31.9%,14.3%,4.7%
New Zealand,G,4.9%,13.8%,28.6%,52.7%
Norway,I,26.3%,38.2%,25.9%,9.6%
Panama,L,9.5%,24.5%,51.6%,14.5%
Paraguay,D,26.0%,27.1%,25.3%,21.5%
Portugal,K,44.6%,37.0%,14.0%,4.3%
Qatar,B,0.7%,3.7%,22.0%,73.5%
Saudi Arabia,H,1.1%,9.9%,46.4%,42.7%
Senegal,I,13.1%,26.5%,40.0%,20.4%
Scotland,C,17.8%,34.6%,32.5%,15.1%
Spain,H,76.4%,21.3%,2.1%,0.3%
Switzerland,B,48.6%,38.3%,11.3%,1.8%
Sweden,F,10.7%,22.3%,40.5%,26.4%
South Africa,A,0.2%,3.7%,15.9%,80.1%
South Korea,A,29.6%,55.8%,12.8%,1.8%
Czech Republic,A,4.3%,15.8%,62.1%,17.8%
Tunisia,F,3.0%,9.4%,25.9%,61.7%
Turkey,D,38.8%,27.5%,19.9%,13.9%
Germany,E,44.8%,40.7%,12.7%,1.8%
Uruguay,H,21.8%,61.7%,13.2%,3.3%
USA,D,19.3%,23.7%,27.1%,29.9%
Uzbekistan,K,6.8%,17.8%,43.2%,32.3%
Austria,J,15.2%,41.7%,27.1%,16.0%
